,,,Basic calculation of Deaths and recovered patients ,,,,,
,,,,,,,,Visualization
Row Labels,Average of Deaths,Sum of Recovered,Average of Deaths / 100 Cases,Sum of Recovered / 100 Cases,Situation of death,Maximum Death Counts,,
Afghanistan,1269,25198,3.5,69.49,Maximum death,87618,,
Albania,144,2745,2.95,56.25,Under Condition,,,
Algeria,1163,18837,4.16,67.34,Maximum death,VLOOKUP Usage,,
Andorra,52,803,5.73,88.53,Under Condition,Albania,,
Angola,41,242,4.32,25.47,Under Condition,,,
Antigua and Barbuda,3,65,3.49,75.58,Under Condition,,,
Argentina,3059,72575,1.83,43.35,Maximum death,,,
Armenia,711,26665,1.9,71.32,Maximum death,,,
Australia,167,9311,1.09,60.84,Under Condition,,,
Austria,713,18246,3.47,88.75,Maximum death,,,
Azerbaijan,423,23242,1.39,76.34,Under Condition,,,
Bahamas,11,91,2.88,23.82,Under Condition,,,
Bahrain,141,36110,0.36,91.46,Under Condition,,,
Bangladesh,2965,125683,1.31,55.56,Maximum death,,,
Barbados,7,94,6.36,85.45,Under Condition,,,
Belarus,538,60492,0.8,89.95,Under Condition,,,
Belgium,9822,17452,14.79,26.27,Maximum death,,,
Belize,2,26,4.17,54.17,Under Condition,,,
Benin,35,1036,1.98,58.53,Under Condition,,,
Bhutan,0,86,0,86.87,Under Condition,,,
Bolivia,2647,21478,3.72,30.17,Maximum death,,,
Bosnia and Herzegovina,294,4930,2.8,46.96,Under Condition,,,
Botswana,2,63,0.27,8.53,Under Condition,,,
Brazil,87618,1846641,3.59,75.61,Maximum death,,,
Brunei,3,138,2.13,97.87,Under Condition,,,
Bulgaria,347,5585,3.27,52.58,Under Condition,,,
Burkina Faso,53,926,4.82,84.18,Under Condition,,,
Burma,6,292,1.71,83.43,Under Condition,,,
Burundi,1,301,0.26,79.63,Under Condition,,,
Cabo Verde,22,1550,0.95,66.58,Under Condition,,,
Cambodia,0,147,0,65.04,Under Condition,,,
Cameroon,391,14539,2.29,84.97,Under Condition,,,
Canada,8944,0,7.68,0,Maximum death,,,
Central African Republic,59,1546,1.28,33.62,Under Condition,,,
Chad,75,810,8.13,87.85,Under Condition,,,
Chile,9187,319954,2.64,91.96,Maximum death,,,
China,4656,78869,5.37,90.88,Maximum death,,,
Colombia,8777,131161,3.41,51.02,Maximum death,,,
Comoros,7,328,1.98,92.66,Under Condition,,,
Congo (Brazzaville),54,829,1.69,25.91,Under Condition,,,
Congo (Kinshasa),208,5700,2.35,64.45,Under Condition,,,
Costa Rica,115,3824,0.73,24.14,Under Condition,,,
Cote d'Ivoire,96,10361,0.61,66.18,Under Condition,,,
Croatia,139,3936,2.85,80.64,Under Condition,,,
Cuba,87,2351,3.44,92.85,Under Condition,,,
Cyprus,19,852,1.79,80.38,Under Condition,,,
Czechia,373,11428,2.4,73.65,Under Condition,,,
Denmark,613,12605,4.45,91.6,Under Condition,,,
Djibouti,58,4977,1.15,98.38,Under Condition,,,
Dominica,0,18,0,100,Under Condition,,,
Dominican Republic,1083,30204,1.69,47.08,Maximum death,,,
Ecuador,5532,34896,6.82,43,Maximum death,,,
Egypt,4652,34838,5.03,37.67,Maximum death,,,
El Salvador,408,7778,2.71,51.73,Under Condition,,,
Equatorial Guinea,51,842,1.66,27.42,Under Condition,,,
Eritrea,0,191,0,72.08,Under Condition,,,
Estonia,69,1923,3.39,94.54,Under Condition,,,
Eswatini,34,1025,1.47,44.26,Under Condition,,,
Ethiopia,228,6386,1.57,43.9,Under Condition,,,
Fiji,0,18,0,66.67,Under Condition,,,
Finland,329,6920,4.45,93.54,Under Condition,,,
France,30212,81212,13.71,36.86,Maximum death,,,
Gabon,49,4682,0.68,65.13,Under Condition,,,
Gambia,8,66,2.45,20.25,Under Condition,,,
Georgia,16,922,1.41,81.09,Under Condition,,,
Germany,9125,190314,4.41,91.89,Maximum death,,,
Ghana,168,29801,0.5,88.63,Under Condition,,,
Greece,202,1374,4.78,32.51,Under Condition,,,
Greenland,0,13,0,92.86,Under Condition,,,
Grenada,0,23,0,100,Under Condition,,,
Guatemala,1761,32455,3.89,71.63,Maximum death,,,
Guinea,45,6257,0.64,88.69,Under Condition,,,
Guinea-Bissau,26,803,1.33,41.1,Under Condition,,,
Guyana,20,181,5.14,46.53,Under Condition,,,
Haiti,158,4365,2.15,59.47,Under Condition,,,
Holy See,0,12,0,100,Under Condition,,,
Honduras,1166,5039,2.93,12.68,Maximum death,,,
Hungary,596,3329,13.4,74.84,Under Condition,,,
Iceland,10,1823,0.54,98.33,Under Condition,,,
India,33408,951166,2.26,64.26,Maximum death,,,
Indonesia,4838,58173,4.82,58,Maximum death,,,
Iran,15912,255144,5.42,86.9,Maximum death,,,
Iraq,4458,77144,3.96,68.52,Maximum death,,,
Ireland,1764,23364,6.81,90.24,Maximum death,,,
Israel,474,27133,0.74,42.41,Under Condition,,,
Italy,35112,198593,14.26,80.64,Maximum death,,,
Jamaica,10,714,1.17,83.7,Under Condition,,,
Japan,998,21970,3.2,70.55,Maximum death,,,
Jordan,11,1041,0.94,88.52,Under Condition,,,
Kazakhstan,585,54404,0.69,64.27,Under Condition,,,
Kenya,285,7833,1.59,43.58,Under Condition,,,
Kosovo,185,4027,2.5,54.32,Under Condition,,,
Kuwait,438,55057,0.68,85.52,Under Condition,,,
Kyrgyzstan,1301,21205,3.91,63.69,Maximum death,,,
Laos,0,19,0,95,Under Condition,,,
Latvia,31,1045,2.54,85.73,Under Condition,,,
Lebanon,51,1709,1.31,44.02,Under Condition,,,
Lesotho,12,128,2.38,25.35,Under Condition,,,
Liberia,72,646,6.17,55.36,Under Condition,,,
Grand Total,3050.606061,5173345,2.993333333,6492.02,,,,
,,,,,,,,
